"name","stat","opt","value","lb","gap.bkv.","gap.lb.","time","nodes","iterations","type"
"HESKIA.IN2-205","PROV","OPT",5,5,0,0,0.03,0,135,"PA1"
"HESKIA.IN2-216","PROV","OPT",5,5,0,0,0.02,0,193,"PA1"
"HESKIA.IN2-256","PROV","OPT",4,4,0,0,0.03,0,196,"PA1"
"HESKIA.IN2-324","PROV","OPT",4,4,0,0,0.01,0,71,"PA1"
"HESKIA.IN2-342","PROV","OPT",3,3,0,0,0.01,0,73,"PA1"
"JACKSON.IN2-7","PROV","OPT",8,8,0,0,0.01,0,85,"PA1"
"JACKSON.IN2-9","PROV","OPT",6,6,0,0,0.01,0,23,"PA1"
"JACKSON.IN2-10","PROV","OPT",5,5,0,0,0.01,0,39,"PA1"
"JACKSON.IN2-13","PROV","OPT",4,4,0,0,0.01,0,28,"PA1"
"JACKSON.IN2-14","PROV","OPT",4,4,0,0,0.01,0,22,"PA1"
"JACKSON.IN2-21","PROV","OPT",3,3,0,0,0.01,0,15,"PA1"
"JAESCHKE.IN2-6","PROV","OPT",8,8,0,0,0,0,4,"PA1"
"JAESCHKE.IN2-7","PROV","OPT",7,7,0,0,0,0,7,"PA1"
"JAESCHKE.IN2-8","PROV","OPT",6,6,0,0,0,0,2,"PA1"
"JAESCHKE.IN2-10","PROV","OPT",4,4,0,0,0.01,0,13,"PA1"
"JAESCHKE.IN2-18","PROV","OPT",3,3,0,0,0,0,0,"PA1"
"KILBRID.IN2-56","PROV","OPT",10,10,0,0,0.22,0,271,"PA1"
"KILBRID.IN2-57","PROV","OPT",10,10,0,0,0.13,0,674,"PA1"
"KILBRID.IN2-62","PROV","OPT",9,9,0,0,0.33,296,4498,"PA1"
"KILBRID.IN2-69","PROV","OPT",8,8,0,0,0.26,214,3391,"PA1"
"KILBRID.IN2-79","PROV","OPT",7,7,0,0,0.15,0,574,"PA1"
"KILBRID.IN2-92","PROV","OPT",6,6,0,0,0.64,1082,27295,"PA1"
"KILBRID.IN2-110","PROV","OPT",6,6,0,0,0.03,0,217,"PA1"
"KILBRID.IN2-111","PROV","OPT",5,5,0,0,0.13,134,1707,"PA1"
"KILBRID.IN2-138","PROV","OPT",4,4,0,0,0.03,0,243,"PA1"
"KILBRID.IN2-184","PROV","OPT",3,3,0,0,0.03,0,124,"PA1"
"LUTZ1.IN2-1414","PROV","OPT",11,11,0,0,0.23,0,779,"PA1"
"LUTZ1.IN2-1572","PROV","OPT",10,10,0,0,0.45,760,15606,"PA1"
"LUTZ1.IN2-1768","PROV","OPT",9,9,0,0,0.55,905,30801,"PA1"
"LUTZ1.IN2-2020","PROV","OPT",8,8,0,0,0.14,0,598,"PA1"
"LUTZ1.IN2-2357","PROV","OPT",7,7,0,0,0.07,0,745,"PA1"
"LUTZ1.IN2-2828","PROV","OPT",6,6,0,0,0.07,0,459,"PA1"
"LUTZ2.IN2-11","INF","SUB",NA,NA,NA,NA,600.07,108786,3459576,"PA1"
"LUTZ2.IN2-12","INF","SUB",NA,NA,NA,NA,600.06,64096,8787155,"PA1"
"LUTZ2.IN2-13","INF","SUB",NA,NA,NA,NA,600.07,115047,7282865,"PA1"
"LUTZ2.IN2-14","INF","SUB",NA,NA,NA,NA,600.03,122731,7685665,"PA1"
"LUTZ2.IN2-15","INF","SUB",NA,NA,NA,NA,600.04,160621,14600537,"PA1"
"LUTZ2.IN2-16","PROV","OPT",31,31,0,0,67.66,20058,941173,"PA1"
"LUTZ2.IN2-17","FEAS","SUB",31,29,2,2,600.06,306341,14925582,"PA1"
"LUTZ2.IN2-18","INF","SUB",NA,NA,NA,NA,600.06,237600,13289815,"PA1"
